"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,2,0,1,2,0,1,1,1,2
"139",0,1,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,1,0
"142",0,2,0,0,1,0,0,1,0,1
"143",0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0
"145",0,1,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,1,0,0,1,0
"147",0,1,0,0,0,0,0,1,0,0
"148",0,2,1,1,1,0,1,1,0,3
"149",1,0,0,1,0,2,0,0,2,0
"150",1,1,0,1,0,0,0,0,2,0
"151",0,0,0,0,0,1,0,0,1,0
"152",0,0,0,0,0,0,0,0,0,0
"153",1,0,0,2,1,0,0,0,2,2
"154",0,2,0,0,1,0,0,1,0,1
"155",0,0,0,0,0,0,0,0,0,0
"156",0,1,0,0,0,0,0,1,1,1
"157",0,0,0,0,1,0,0,0,0,1
"158",0,1,0,0,0,0,0,0,0,0
"159",1,1,1,1,0,1,1,0,1,0
"160",0,0,0,0,0,0,0,1,0,0
"161",1,1,0,1,0,0,0,0,2,0
"162",0,0,0,0,0,0,0,0,0,1
"163",0,1,0,0,0,0,0,0,1,1
"164",0,0,0,0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,1
"166",0,1,0,1,1,1,0,1,0,2
"167",0,1,0,0,0,0,0,1,0,0
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,1,0,0,1,0,1,1,0,1
"171",0,1,0,0,0,0,0,0,0,0
"172",0,1,0,0,0,0,0,0,0,0
"173",0,1,0,0,0,0,0,1,0,0
"174",0,0,0,0,0,0,0,0,0,0
"175",1,0,1,1,0,1,0,0,1,0
"176",0,1,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,1,0,0,1,0
"178",0,1,0,0,0,1,0,1,1,0
"179",0,1,0,1,1,0,0,1,0,1
"180",0,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,0
"182",0,1,0,0,0,0,0,1,0,0
"183",0,1,0,0,0,0,0,1,0,0
"184",0,0,0,0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,1,1,1,2,1,2
"187",0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0
"190",0,0,0,1,0,0,0,0,1,0
"191",0,0,0,0,0,0,1,0,0,0
"192",0,0,0,0,0,1,0,0,1,0
"193",1,1,0,0,1,0,0,0,1,2
"194",0,0,0,0,0,0,0,0,0,1
"195",0,1,0,0,1,0,1,1,0,1
"196",1,1,0,1,0,0,0,0,2,0
"197",0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,1,0,0,1,0
"199",0,0,0,0,0,0,0,0,1,0
"200",0,0,0,0,0,0,1,0,0,0
"201",0,0,0,0,0,0,0,0,0,1
"202",0,0,0,0,0,0,0,0,1,2
"203",0,0,0,0,0,0,0,0,0,1
"204",0,1,1,2,1,1,0,0,3,2
"205",0,0,0,0,1,1,0,0,1,1
"206",0,1,0,0,0,0,0,0,1,0
"207",0,0,0,0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0,0,1,2
"209",0,1,0,0,0,0,0,0,1,0
"210",0,1,0,1,1,1,1,0,1,1
"211",0,0,0,0,0,0,0,0,0,2
"212",1,1,0,1,0,0,0,0,2,0
"213",0,0,0,0,0,0,0,0,0,1
"214",0,0,0,0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0,0,0,0
"217",0,0,0,0,2,0,0,0,0,2
"218",0,1,0,0,1,0,1,1,0,1
"219",0,0,0,0,0,1,0,0,1,0
"220",0,0,0,0,0,1,0,0,1,0
"221",0,0,0,0,1,0,0,0,0,1
"222",0,0,0,0,0,0,0,0,0,0
