"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,0,0,0,1,0,0,0,0,1
"139",0,1,0,1,0,0,0,0,0,1
"140",0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0
"142",0,2,0,0,1,0,0,0,0,1
"143",1,2,1,1,1,1,1,2,2,1
"144",0,1,1,0,1,1,1,2,1,2
"145",0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,1,0,0
"147",0,0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0
"149",0,1,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,1
"152",0,0,0,0,0,0,0,0,0,0
"153",0,1,0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0
"156",1,2,0,0,0,0,1,2,0,2
"157",0,0,0,0,0,0,0,0,0,0
"158",1,0,0,1,0,1,0,0,1,1
"159",0,1,0,1,0,0,0,0,0,0
"160",0,1,0,1,2,0,1,1,0,2
"161",0,2,0,0,1,0,0,0,0,1
"162",0,2,0,0,1,0,0,0,0,1
"163",0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0,0,0,0
"166",0,1,0,0,1,0,1,1,0,1
"167",1,1,1,1,1,1,1,1,1,1
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,1,0,0,0,0,1
"171",0,0,0,0,1,0,0,0,0,1
"172",2,0,0,2,0,1,1,0,3,0
"173",0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0
"176",0,0,0,0,1,0,0,0,0,1
"177",0,1,0,0,1,0,0,1,0,1
"178",0,0,0,0,0,0,0,1,0,1
"179",0,0,0,0,1,0,0,0,0,1
"180",0,0,0,0,0,0,0,0,0,0
"181",0,2,0,0,3,1,0,2,0,5
"182",1,1,1,0,1,0,1,1,2,1
"183",0,0,0,0,1,0,0,0,0,1
"184",0,1,0,0,0,0,0,0,0,0
"185",1,2,0,0,0,0,1,2,0,2
"186",0,0,1,0,0,1,0,1,1,1
"187",0,0,0,0,0,0,0,0,0,0
"188",0,1,1,0,0,1,0,0,1,0
"189",0,0,0,0,0,0,0,0,0,1
"190",0,0,0,0,0,0,0,1,0,1
"191",0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,1,0,2
"195",2,0,0,2,0,1,1,0,3,0
"196",0,0,0,0,0,0,0,1,0,0
"197",0,0,0,0,0,0,0,0,0,0
"198",0,0,1,0,0,0,0,1,0,2
"199",0,0,0,1,0,0,0,0,0,0
"200",0,1,0,0,1,0,1,1,0,1
"201",0,1,0,0,1,0,1,1,0,1
"202",0,0,0,0,0,0,0,0,0,0
"203",0,0,0,0,0,0,0,0,0,0
"204",0,1,0,0,0,1,0,0,2,0
"205",0,0,0,0,0,0,0,0,0,0
"206",0,0,0,0,0,0,0,0,0,0
"207",1,0,1,0,0,0,0,0,1,0
"208",0,1,0,0,0,0,0,1,0,2
"209",0,0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,1,1,0,1,0
"211",0,0,0,0,0,0,0,0,0,0
"212",0,1,0,0,0,0,0,0,0,0
"213",0,1,0,1,2,0,0,1,0,3
"214",0,2,0,0,1,0,1,1,0,3
"215",0,1,0,0,0,0,0,0,0,0
"216",0,0,0,0,1,0,0,1,1,2
"217",0,0,0,0,1,0,0,0,0,1
"218",0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0,0,1
"220",0,0,0,0,1,0,0,0,0,1
"221",0,1,0,0,1,1,0,1,0,2
"222",0,0,0,0,0,0,0,0,0,0
"223",0,2,0,0,1,0,0,1,0,1
"224",0,0,0,0,1,0,0,0,0,1
"225",0,0,0,0,0,0,0,0,0,0
"226",1,3,1,1,0,1,0,0,3,0
"227",0,1,0,0,2,0,0,1,0,2
"228",0,2,0,0,1,0,0,0,0,1
"229",0,1,0,0,0,0,0,0,0,0
"230",0,1,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,0,0
"232",0,0,0,0,0,0,0,0,0,1
"233",0,1,0,0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0,0,0,0
"237",0,0,0,0,0,0,0,0,0,0
"238",0,0,0,0,0,0,0,0,0,0
"239",0,0,0,0,1,0,0,0,0,1
"240",1,1,1,1,0,1,0,0,1,1
"241",0,0,0,0,0,0,0,1,0,1
"242",1,1,1,0,1,1,1,1,1,2
"243",0,0,0,0,0,0,0,0,0,0
"244",0,2,1,1,1,0,1,1,0,1
"245",0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0,0,0,0
"247",0,1,0,1,0,0,0,0,0,1
"248",0,0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,0,0,0
"250",0,0,0,1,0,0,0,0,0,0
"251",0,1,0,0,2,0,0,1,0,2
"252",0,3,0,0,1,0,0,1,0,2
"253",0,1,0,0,0,0,0,0,0,2
"254",0,0,0,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,0,0,0,0
"256",1,0,1,0,0,0,0,0,1,0
"257",0,0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0,1,0,1
"259",0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0
"261",1,1,1,1,1,1,1,1,1,1
"262",0,0,0,0,1,0,0,1,0,2
"263",0,0,0,0,0,0,0,0,0,0
"264",1,0,1,0,0,0,0,2,2,1
"265",0,0,0,0,0,0,0,0,0,0
"266",0,2,0,0,2,0,0,1,0,3
"267",0,0,0,0,0,0,0,0,0,0
"268",0,0,0,0,1,0,0,0,0,1
"269",1,1,1,1,1,1,2,0,3,1
"270",0,0,0,0,0,0,0,0,0,0
"271",2,0,0,2,0,1,1,0,3,0
"272",0,0,0,0,0,0,0,0,0,0
"273",0,1,0,0,0,0,0,0,0,0
"274",0,1,0,0,0,0,0,0,1,0
"275",0,0,0,0,0,0,0,0,0,0
"276",0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,1
"278",0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0
"280",0,1,0,1,0,0,0,0,0,0
"281",0,0,0,0,0,0,0,0,0,0
"282",0,0,0,0,0,0,0,1,0,1
"283",0,0,0,0,0,0,0,0,0,1
"284",0,1,0,0,0,0,0,1,0,1
"285",0,0,0,0,0,0,0,0,0,0
"286",0,0,0,0,0,0,0,0,0,0
"287",0,0,0,0,0,0,0,0,0,0
"288",0,1,0,0,0,0,0,0,0,1
