"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,1,0,0,1,0,2,1,1,2
"139",0,1,0,0,0,0,0,0,1,1
"140",0,0,0,0,0,0,0,1,0,1
"141",0,0,0,0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0,0,0,0
"143",1,0,0,0,1,0,0,2,1,2
"144",0,0,0,0,0,0,0,0,0,0
"145",0,0,1,0,0,0,0,0,1,0
"146",0,0,0,0,0,0,0,0,0,0
"147",0,0,0,0,0,1,0,0,1,0
"148",0,0,0,0,0,0,0,0,0,1
"149",0,0,0,0,0,0,0,1,0,1
"150",0,2,0,0,2,0,0,0,0,3
"151",1,0,0,1,0,1,0,0,1,0
"152",0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,1,0,0,2,0,1
"154",0,1,0,0,1,0,0,0,0,2
"155",1,1,1,1,0,1,0,0,1,1
"156",0,0,0,0,0,0,0,0,1,1
"157",0,0,0,0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0,0,0,1
"161",0,1,0,0,1,0,0,1,0,1
"162",0,0,0,0,0,0,0,0,0,0
"163",0,1,0,0,0,0,0,0,0,0
"164",0,1,0,0,0,0,0,0,0,0
"165",0,1,0,0,0,0,0,0,0,0
"166",1,1,1,1,0,1,0,0,1,1
"167",0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,0
"169",1,1,1,1,0,1,0,0,1,1
"170",0,0,0,0,0,1,0,0,1,0
"171",0,0,0,0,0,0,0,0,0,1
"172",0,1,1,0,1,0,1,1,0,1
"173",0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0
"175",0,1,0,0,2,1,0,4,1,4
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,1,0,1
"180",0,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,0,0,1
"182",1,0,1,0,0,0,0,0,2,0
"183",1,0,1,1,1,0,0,0,1,2
"184",1,0,1,1,1,0,0,0,1,2
"185",0,0,0,0,1,0,0,0,0,1
"186",0,1,0,0,2,0,0,1,0,2
"187",1,0,1,1,1,1,0,2,3,3
"188",1,2,0,1,2,0,0,3,1,5
"189",0,1,0,0,0,0,0,0,1,0
"190",0,1,0,0,0,0,0,0,1,0
"191",0,1,1,0,1,1,1,1,1,1
"192",1,0,1,0,0,0,0,0,1,0
"193",0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0
"202",1,0,0,1,0,1,0,2,4,1
"203",0,1,0,1,1,0,0,0,0,2
"204",1,0,1,0,0,0,0,0,1,0
"205",0,1,0,0,1,0,1,1,0,1
